Locus	Prop. Matching Expression with Dsc1	Gene
LOC5570783	0.573193242	
LOC5576468	0.572909272	
LOC5568922	0.572909272	
LOC5576344	0.572767287	
LOC5566546	0.571205452	
LOC5564728	0.570921482	
LOC5566390	0.570921482	
LOC5576397	0.570637512	
LOC5574866	0.569643618	
LOC5564497	0.569501633	
LOC5573096	0.569501633	
LOC5567339	0.569501633	
LOC5571483	0.567939798	
LOC5573805	0.567939798	
LOC5569126	0.567513844	
LOC5567597	0.567229874	
LOC5570456	0.567087889	
LOC5578296	0.566945904	
LOC5567515	0.566803919	
LOC5571728	0.566519949	
LOC5566900	0.566519949	
LOC5572069	0.566235979	
LOC5569014	0.566235979	
LOC110678491	0.565952009	
LOC5574870	0.565668039	
LOC5576976	0.565526054	
LOC5565261	0.565100099	
LOC5571027	0.565100099	
LOC5573643	0.564958114	
LOC5574485	0.564674145	
LOC5566394	0.564390175	
LOC5568668	0.564390175	
LOC5571129	0.564106205	
LOC5565257	0.563538265	
LOC5568690	0.56339628	
LOC5563584	0.56311231	
LOC5576570	0.56254437	
LOC5576142	0.562402385	
LOC5580030	0.561834446	
LOC5572858	0.561266506	
LOC5573413	0.560840551	
LOC5567344	0.560272611	
LOC5564815	0.560130626	
LOC5579471	0.560130626	
LOC5578313	0.559988641	
LOC5577930	0.559562686	
LOC5579519	0.559278716	
LOC5572284	0.559136732	
LOC5578387	0.558000852	
LOC5579061	0.558000852	
LOC5566946	0.557432912	
LOC5567711	0.557290927	
LOC5573872	0.557148942	
LOC5573369	0.557006957	
LOC5575064	0.556722987	
LOC5577909	0.556581002	
LOC5570813	0.556581002	
LOC5568574	0.556581002	
LOC5565208	0.556013063	
LOC5575995	0.555019168	
LOC5569849	0.554735198	
LOC5563768	0.554593213	
LOC5569212	0.554451228	
LOC5579206	0.554025273	
LOC5577723	0.554025273	
LOC5579888	0.554025273	
LOC5565979	0.554025273	
LOC5580194	0.553883288	
LOC5579310	0.553883288	
LOC5574548	0.553599318	
LOC5566787	0.553457334	
LOC5565334	0.553173364	
LOC5573976	0.553173364	
LOC5572751	0.552889394	
LOC5569740	0.552747409	
LOC5567603	0.552463439	
LOC5573959	0.552321454	
LOC5568968	0.552179469	
